"Type","Name","SizeGB","Modified","Path"
"Unknown","test_RGB565.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_RGB565.bin"
"Unknown","test_RGB565.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_RGB565.bin"
"Unknown","test_L8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_L8.bin"
"Unknown","test_L8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_L8.bin"
"Unknown","test_L8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_L8.bin"
"Unknown","test_L8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_L8.bin"
"Unknown","test_L8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_L8.bin"
"Unknown","test_L8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_L8.bin"
"Unknown","test_I8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_I8.bin"
"Unknown","test_I8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_I8.bin"
"Unknown","test_I8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_I8.bin"
"Unknown","test_I8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_I8.bin"
"Unknown","test_I8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_I8.bin"
"Unknown","test_I8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_I8.bin"
"Unknown","test_I4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_I4.bin"
"Unknown","test_I4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_I4.bin"
"Unknown","test_I4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_I4.bin"
"Unknown","test_I4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_I4.bin"
"Unknown","test_I4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_I4.bin"
"Unknown","test_I4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_I4.bin"
"Unknown","test_I2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_I2.bin"
"Unknown","test_I2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_I2.bin"
"Unknown","test_I2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_I2.bin"
"Unknown","test_I2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_I2.bin"
"Unknown","test_I2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_I2.bin"
"Unknown","test_I2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_I2.bin"
"Unknown","test_I1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_I1.bin"
"Unknown","test_I1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_I1.bin"
"Unknown","test_I1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_I1.bin"
"Unknown","test_I1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_I1.bin"
"Unknown","test_I1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_I1.bin"
"Unknown","test_I1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_I1.bin"
"Unknown","test_ARGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_ARGB8888.bin"
"Unknown","test_ARGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_ARGB8888.bin"
"Unknown","test_ARGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_ARGB8888.bin"
"Unknown","test_ARGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_ARGB8888.bin"
"Unknown","test_ARGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_ARGB8888.bin"
"Unknown","test_ARGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_ARGB8888.bin"
"Unknown","test_A8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_A8.bin"
"Unknown","test_A8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_A8.bin"
"Unknown","test_A8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_A8.bin"
"Unknown","test_A8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_A8.bin"
"Unknown","test_A8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_A8.bin"
"Unknown","test_A8.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_A8.bin"
"Unknown","test_A4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_A4.bin"
"Unknown","test_A4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_A4.bin"
"Unknown","test_A4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_A4.bin"
"Unknown","test_A4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_A4.bin"
"Unknown","test_A4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_A4.bin"
"Unknown","test_A4.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_A4.bin"
"Unknown","test_A2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_A2.bin"
"Unknown","test_A2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_A2.bin"
"Unknown","test_A2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_A2.bin"
"Unknown","test_A2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_A2.bin"
"Unknown","test_A2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_A2.bin"
"Unknown","test_A2.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_A2.bin"
"Unknown","test_A1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_A1.bin"
"Unknown","test_A1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_A1.bin"
"Unknown","test_A1.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_A1.bin"
